Year	Alabama	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District Of Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
1932	2653	426	1836	5894	1066	1637	245	513	1521	2935	459	7736	3281	2489	1883	2676	2155	815	1678	4259	4780	2646	2004	3746	540	1386	96	474	4120	441	13001	3227	676	6717	2394	972	9764	677	1748	692	2711	5961	517	358	2452	1584	1747	3021	230
1933	2661	426	1854	5963	1071	1642	248	529	1552	2950	464	7768	3304	2495	1877	2698	2178	821	1694	4282	4780	2673	2031	3773	541	1385	96	477	4107	449	13126	3268	674	6740	2392	978	9784	675	1752	690	2747	6014	520	357	2460	1592	1752	3040	230
1934	2685	428	1878	6060	1075	1650	250	568	1585	2964	473	7772	3319	2510	1868	2722	2202	829	1710	4305	4798	2695	2050	3784	545	1382	98	480	4089	461	13253	3304	672	6751	2391	985	9795	675	1760	682	2784	6053	522	357	2485	1610	1771	3054	233
1935	2719	434	1890	6175	1078	1666	252	608	1613	2955	481	7797	3332	2524	1872	2748	2228	836	1729	4343	4838	2717	2061	3798	550	1375	100	481	4085	475	13375	3323	670	6787	2386	1001	9774	678	1769	674	2798	6123	526	357	2520	1629	1794	3070	237
1936	2743	443	1892	6341	1090	1672	253	629	1651	2978	495	7840	3348	2509	1869	2768	2246	840	1745	4355	4889	2734	2072	3801	554	1358	101	481	4084	489	13481	3346	664	6801	2365	1025	9767	686	1781	666	2791	6192	527	357	2552	1653	1808	3082	240
1937	2762	453	1903	6528	1104	1678	254	616	1709	3037	507	7857	3374	2498	1856	2784	2257	842	1754	4358	4968	2746	2086	3794	554	1339	103	481	4088	503	13511	3385	655	6809	2334	1048	9790	694	1802	656	2795	6250	529	356	2590	1681	1813	3088	243
1938	2787	466	1928	6656	1112	1684	257	638	1771	3091	513	7866	3386	2494	1842	2800	2285	843	1766	4365	5056	2753	2127	3781	552	1326	105	485	4100	513	13512	3440	647	6837	2324	1067	9952	694	1834	649	2821	6301	535	356	2638	1698	1828	3098	246
1939	2814	484	1948	6785	1120	1696	263	658	1836	3120	521	7890	3403	2520	1824	2825	2334	846	1793	4347	5156	2771	2168	3783	555	1318	107	490	4129	523	13523	3514	644	6886	2333	1081	9901	701	1872	645	2874	6360	543	358	2670	1715	1868	3121	248
1940	2845	499	1955	6950	1130	1708	269	690	1915	3119	522	7905	3433	2537	1788	2859	2370	849	1839	4318	5315	2790	2176	3786	558	1316	113	492	4175	531	13456	3574	640	6929	2325	1086	9896	719	1902	641	2935	6425	552	363	2720	1740	1907	3143	250
1941	2902	490	1969	7237	1124	1746	275	764	2017	3179	501	7995	3483	2491	1765	2824	2484	852	1913	4389	5472	2718	2184	3811	543	1272	120	490	4254	506	13267	3589	615	6958	2262	1071	9911	731	1962	613	2973	6585	551	348	2855	1789	1885	3140	247
1942	2941	524	1977	7735	1113	1792	279	851	2151	3209	478	8057	3507	2439	1760	2797	2546	839	1998	4370	5549	2662	2210	3829	518	1239	137	481	4297	502	13002	3569	583	6969	2215	1107	9704	748	2007	589	2939	6711	575	343	3038	1901	1831	3053	251
